ticker,label,f5,f10,f20,peak,now,r20_at,dist_high_at
AAOI,extended,-18.838206691866,3.7327700444459655,1.1770496031642042,21.57376316373052,7.154926312377707,76.60474260357724,0.0
AAPL,building,4.704793648100614,7.270156570944319,9.442494737317286,12.618836969471104,7.738209857010725,9.463895727845873,0.0
ABCL,avoid_wait,14.379081164953655,-9.36819805841057,33.551196310631035,40.740736893107865,18.082786407710504,35.3982303996901,0.0
ABVX,noise,-21.713318784793778,,,0.0,-21.713318784793778,10.271236942746388,-2.2166948150261656
ADBE,fresh_watch,0.9293552350803536,-1.2404772554216348,9.301580088921035,9.301580088921035,-2.281520907632262,3.206820600872917,-2.0434459942370253
ADEA,noise,-16.26429696544156,-14.994242698266946,,2.9871378680276672,-2.83691809261738,12.87200315282342,-6.393102010888807
AEHR,extended,22.13526084936255,-2.382900246446995,31.99392500218785,36.175681579142946,11.645837109709811,64.12960287728808,-12.068611263700745
AFRM,noise,-10.218082846577081,,,0.0,-10.218082846577081,7.950847903153457,-1.0047492850485673
ALAB,avoid_wait,3.0310589334239024,7.120497804250769,76.77516013198758,80.64099803474379,72.08943432162268,70.56530523236546,-5.445403372160895
ALB,noise,4.972147280208272,-6.963069764806251,-11.734062011062385,8.309263567477721,-22.71508532895958,8.866308534794642,-10.082548338135112
ALMU,fresh_watch,10.782763821718833,-26.29726886456757,-4.274406983989543,10.782763821718833,-13.843446162038687,147.38903223054055,0.0
AMAT,noise,7.286185244671439,4.201063386100823,10.45518148661988,22.327023036063686,20.003370750148175,3.2251619966214617,-4.194850131323424
AMBA,noise,1.096225995866007,11.863578617287907,,13.970769103386282,-16.297195495850715,43.68218297355189,0.0
AMC,avoid_wait,-2.758626189441482,-6.206898649580772,42.758611391047396,46.206883851186696,24.137923663635142,15.079369734804748,-22.043008788608663
AMD,late_chase,26.25228591924531,17.62911079275531,41.490539965761464,50.4742904180783,35.99877266080789,65.76552117007904,0.0
AMKR,extended,8.074977482170876,-6.933489307690854,5.326941226313231,8.821876221689106,-3.654400405751479,50.88241962338576,-9.142122935667485
AMPG,noise,7.826090021259691,92.60869218180889,155.6521841889295,185.65218729873715,185.65218729873715,21.052630588288434,0.0
AMPX,avoid_wait,-19.98083329472027,-19.26210012510634,4.2165746304729135,9.774791212963096,-9.774800352151193,30.43750524520874,-8.02115315992349
AMSC,extended,-0.9089256776150023,-14.397379404836474,-15.160880580000436,6.744233798163335,-21.214321986949038,74.4134328621767,0.0
AMTX,noise,-26.420456585127962,-34.9431825493855,-24.99999661337243,3.97727572905624,-36.931817027286066,11.392401434102805,0.0
AMZN,building,1.6476488292153313,-1.5358215787687035,-2.6094086875325884,2.50875278601157,-8.588685493992044,27.882921438660023,0.0
ANET,avoid_wait,-4.331562099101404,-4.467558938189143,12.885895051570273,19.22344943681724,6.351146806030128,1.3717447672884964,-17.25651207236991
AOSL,extended,0.7292609093775493,,,21.513214213589492,0.7292609093775493,1.8570083636437085,-11.066070262641215
APH,extended,-1.8723454304649056,,,1.4076791103898367,-1.8723454304649056,2.8390676032967965,-1.6267802220402139
APLD,late_chase,12.472912250019297,15.627261905199298,-4.5990847665622,19.55213817783672,-1.4086181114079,62.416891963057864,-6.125684440217771
APP,noise,-2.8103300406183696,15.720722709782308,,25.068782562023717,14.877009850779865,13.19000516428568,-1.63970428284822
ARKK,extended,-1.9225920383176165,-4.69968007930428,0.6157298975812742,2.9781290055998166,-4.649415044613459,13.104038005574804,0.0
ARM,late_chase,4.619698732370403,5.8348917302330605,98.12555462877097,102.61241646270692,70.41721145810023,36.62700051724186,-13.436396822875874
ASML,noise,10.842236979347808,15.823251866074273,,19.361714845828804,18.789180968475815,-0.06055118982507546,-7.51435304928113
ASPI,late_chase,-14.731588907089266,,,3.995002318107166,-14.731588907089266,55.533982146661586,0.0
ASST,avoid_wait,,,,3.1886043034392353,3.1886043034392353,-10.720777911724767,-20.45332312512422
