date,ticker,fetch_symbol,sentiment_score,tech_score,catalyst_score,alignment,gate_flags,n_runs_date,source_file,vote_event_catalyst,vote_earnings_proximity,vote_squeeze_setup,vote_growth_profitability,vote_analyst_upside,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
2026-05-07,NVDA,NVDA,0.843,0.691,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,0.017494095947569344,0.11460998005883538,0.037872322229804745,-0.0291297886097871
2026-05-07,TSM,TSM,0.443,0.732,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,-0.005964033219195253,0.008620106417237094,-0.016902082551650155,0.002462929753396903
2026-05-07,TSLA,TSLA,0.426,0.717,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,0.040214665764012114,0.07651953324314209,0.014716232625475723,-0.05048691836497998
2026-05-07,SPY,SPY,0.357,0.735,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,0.00825609701116825,0.02267693605077592,0.015227252405543457,0.008160408089829208
2026-05-07,AAPL,AAPL,0.41,0.672,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,0.020456497888878378,0.038424516299609746,0.06203377539435029,0.07021694839749881
2026-05-07,LITE,LITE,0.391,0.678,,ALIGNED,,12,bridge_20260507_1933.csv,,,,,,0.012570268758319791,0.12237556115683845,0.08057538991814228,-0.03240050571555819
2026-05-07,ARM,ARM,0.138,0.702,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,-0.00018748903750664958,0.07121092595406231,0.3981061103542878,0.6076601968999713
2026-05-07,MU,MU,0.185,0.664,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,0.15492623874974187,0.2000835098926559,0.17857192419310675,0.336173670367403
2026-05-07,NBIS,NBIS,0.207,0.623,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,-0.04178168015474659,0.19689337437248566,0.19029056443314007,0.23293820582839975
2026-05-07,IREN,IREN,0.171,0.631,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,0.07651719271019042,0.02726478616289496,0.021284132482795703,-0.04397537497099557
2026-05-07,AMD,AMD,0.196,0.594,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,0.11440535661732598,0.10096465165423352,0.10069530858161402,0.1418009465783978
2026-05-07,SNDK,SNDK,0.131,0.567,,CONTRARIAN,,12,bridge_20260507_1933.csv,,,,,,0.16596018639782706,0.031911408558587206,0.1509597564059677,0.1637063731352748
2026-05-08,NVDA,NVDA,0.85,0.781,,ALIGNED,,15,bridge_20260508_1202.csv,,,,,,0.01970259096216065,0.047026076442920894,0.0006041061185160235,-0.029353310434091062
2026-05-08,TSM,TSM,0.518,0.877,,ALIGNED,,15,bridge_20260508_1202.csv,,,,,,-0.01734350233890891,-0.01780499809338576,-0.01739209648211093,0.03672758717744706
2026-05-08,AAPL,AAPL,0.552,0.757,,ALIGNED,,15,bridge_20260508_1202.csv,,,,,,-0.0012626705737772692,0.02450091188246417,0.05381330158103026,0.02897113019586328
2026-05-08,ARM,ARM,0.483,0.756,,ALIGNED,,15,bridge_20260508_1202.csv,,,,,,-0.002907161642780598,-0.01927134865670499,0.43719230846005996,0.6241853411598868
