horizon_d,alpha_sentiment,alpha_technical,mean_ic,ic_tstat,n_days,top10_hit_rate,top10_mean_ret
1,0.05,0.95,-0.0239356106334339,-0.5239029402506071,44,0.05581395348837209,-0.0059329007283813445
1,0.075,0.925,-0.02481021322033813,-0.5392349288821323,44,0.053488372093023255,-0.005901121787541536
1,0.1,0.9,-0.023318045682419644,-0.5100814817188787,44,0.0558139534883721,-0.005786501676469674
1,0.125,0.875,-0.030915763244537722,-0.6993548565193238,44,0.0558139534883721,-0.005641735100711803
1,0.15,0.85,-0.029337708209678848,-0.6673384148902797,44,0.05348837209302326,-0.005658849362097851
1,0.175,0.825,-0.02860695155478986,-0.6508565760131722,44,0.05348837209302326,-0.0063627046386642355
1,0.2,0.8,-0.02721935020245201,-0.6196574361248903,44,0.05348837209302326,-0.00576616740719349
1,0.225,0.775,-0.026538868796600203,-0.6079906607026371,44,0.05348837209302326,-0.006042639641555981
1,0.25,0.75,-0.023745463502096806,-0.54416498498938,44,0.05348837209302326,-0.005810971545858418
1,0.275,0.725,-0.024763203623045748,-0.5716259612725002,44,0.051162790697674425,-0.005945898106102748
1,0.3,0.7,-0.02390101560004869,-0.5529645398711481,44,0.051162790697674425,-0.006176483336022618
1,0.325,0.675,-0.03116264262451157,-0.7303108737928082,44,0.053488372093023255,-0.005064570797097211
1,0.35,0.65,-0.03166729566593406,-0.7417836362352669,44,0.05581395348837209,-0.004600791665589011
1,0.375,0.625,-0.030988045918277893,-0.7307072084147703,44,0.05581395348837209,-0.00434466985432673
1,0.4,0.6,-0.03133535447702112,-0.7399724259374747,44,0.05348837209302326,-0.004736074567338197
1,0.425,0.575,-0.02956789416790383,-0.7021353881812035,44,0.05348837209302326,-0.0038365544518009793
1,0.45,0.55,-0.027849182473578517,-0.6654243408558452,44,0.0558139534883721,-0.00410423292329327
1,0.475,0.525,-0.026644015223586958,-0.6367806079566593,44,0.05348837209302326,-0.004395344805435193
1,0.5,0.5,-0.026194139406293834,-0.6292372388099341,44,0.046511627906976744,-0.006609489616762315
1,0.525,0.475,-0.02652767656635675,-0.6396714134428958,44,0.046511627906976744,-0.006005771578751262
1,0.55,0.45,-0.024194664418306942,-0.5897987037889086,44,0.046511627906976744,-0.005605952142446553
1,0.575,0.425,-0.02324438606347097,-0.5607881716756226,44,0.04883720930232558,-0.004646770086751569
1,0.6,0.4,-0.021114645144853297,-0.5046544381189191,44,0.048837209302325574,-0.005248912033982217
1,0.625,0.375,-0.02691349909030363,-0.6287467370896691,44,0.051162790697674425,-0.0044488472881459434
1,0.65,0.35,-0.02294495288575248,-0.5397117137099482,44,0.04883720930232558,-0.00451154274781964
1,0.675,0.325,-0.023464103106389148,-0.5513364403422285,44,0.046511627906976744,-0.0048426205379795105
1,0.7,0.3,-0.020526467031040753,-0.4838484952036196,44,0.046511627906976744,-0.004599996680646472
1,0.725,0.275,-0.02364979844626429,-0.5515430864221869,44,0.044186046511627906,-0.005479417994927239
1,0.75,0.25,-0.01618105045688203,-0.37914547333590876,44,0.044186046511627906,-0.005464129727343666
1,0.775,0.225,-0.011885394620023486,-0.2769118258252272,44,0.04418604651162791,-0.004941719065201232
1,0.8,0.2,-0.012866831267025047,-0.2860981104025353,44,0.046511627906976744,-0.004248890726097918
1,0.825,0.175,-0.012488058462956204,-0.27562643912021034,44,0.04186046511627907,-0.004926889172768745
1,0.85,0.15,-0.013818701542048646,-0.3030566374328619,44,0.03953488372093024,-0.006126399840702583
1,0.875,0.125,-0.008433915964596035,-0.1825861409660512,44,0.041860465116279076,-0.004857421636178835
1,0.9,0.1,-0.004962476836057964,-0.10617428923762322,44,0.041860465116279076,-0.005091054316259745
1,0.925,0.075,-0.005179364539323788,-0.10861863294591556,44,0.041860465116279076,-0.005059391039885757
1,0.95,0.05,-0.002978228040020604,-0.061430613926487965,44,0.041860465116279076,-0.005207969264867821
5,0.05,0.95,0.027591801218533506,0.7032165610577754,40,0.20256410256410257,0.0005158499793262854
